pelagios_temp_id;maphist_label;recogito_mapping;recogito_gazetteer_label;lat;lng;recogito_status;modified_by;modified_at;
876-1615;camera / canbra;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:16:05+0100;
877-1617;ZENARA / zoara;http://www.wikidata.org/wiki/Q3645598;ზუვაითინა;30.9522;20.1203;VERIFIED;pau;2015-01-27T19:16:15+0100;
878-1618;i.de ocelli / ozelis;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:16:33+0100;
879-1619;salines;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:16:36+0100;
880-1622;[la]bayda;http://www.wikidata.org/wiki/Q1640928;MUNICIPALITÀ DI AGEDABIA;30.75;20.2167;VERIFIED;pau;2015-01-27T19:16:48+0100;
881-1623;p.de sabia;http://www.wikidata.org/wiki/Q58462;RAS AL-UNUF;30.5872;18.4157;VERIFIED;pau;2015-01-27T19:17:07+0100;
882-1624;cedera / sidra;http://www.wikidata.org/wiki/Q291912;AL SIDRA;30.6294;18.3503;VERIFIED;pau;2015-01-27T19:17:30+0100;
883-1625;g.tim;http://www.wikidata.org/wiki/Q8084050;‘UWAYJA;30.9067;17.7131;VERIFIED;pau;2015-01-27T19:17:42+0100;
884-1626;[TIM];;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:17:45+0100;
885-1629;c.de sorte;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:17:59+0100;
886-1631;dauarini;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:18:06+0100;
887-1633;g.de zedicho;http://www.wikidata.org/wiki/Q1739459;KERNKRAFTWERK SURT;31.2222;16.6113;VERIFIED;pau;2015-01-27T19:18:45+0100;
888-1635;c.de larat;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:19:02+0100;
889-1637;colbene;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:19:13+0100;
890-1639;balafia;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:19:33+0100;
891-1640;MISURATA (often not in red);http://www.wikidata.org/wiki/Q131323;MISRATAH;32.3778;15.0901;VERIFIED;pau;2015-01-27T19:19:45+0100;
892-1642;brata;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:20:15+0100;
893-1644;p.magro;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:20:52+0100;
894-1646;p.rasamisan;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:21:10+0100;
895-1647;tesuta;http://www.wikidata.org/wiki/Q1642670;TARHUNA;32.4339;13.6344;VERIFIED;pau;2015-01-27T19:21:33+0100;
896-1648;raza zaira;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:21:48+0100;
897-1650;teiura / tissura;http://www.wikidata.org/wiki/Q2271093;;32.8819;13.34;VERIFIED;pau;2015-01-27T19:21:58+0100;
898-1651;TRIPOLI [DE BARBARIA];http://www.wikidata.org/wiki/Q3579;ΤΡΊΠΟΛΗ;32.9;13.1833;VERIFIED;pau;2015-01-27T19:22:12+0100;
899-1652;casar sensor;http://pleiades.stoa.org/places/344569;Zanzur;32.8183;13.0097;VERIFIED;pau;2015-01-27T19:22:23+0100;
900-1653;tripoli vechio;http://www.wikidata.org/wiki/Q192918;SABRATHA;32.7922;12.4842;VERIFIED;pau;2015-01-27T19:22:34+0100;
901-1655;ponta darsoyara / palmeri delazara;http://pleiades.stoa.org/places/344333;Casas/Villa Aniciorum;32.9348;12.0806;VERIFIED;pau;2015-01-27T19:22:57+0100;
902-1656;RASSAMABES;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:23:14+0100;
903-1657;palmeris;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:23:37+0100;
904-1659;porteti;http://www.wikidata.org/wiki/Q800241;BAHIRET EL BIBANE;33.2456;11.2486;VERIFIED;pau;2015-01-27T19:23:50+0100;
905-1660;scala de ris;http://www.wikidata.org/wiki/Q148142;ZARZIS;33.5;11.1167;VERIFIED;pau;2015-01-27T19:24:17+0100;
906-1661;i.de jerbi;http://www.wikidata.org/wiki/Q188938;DJERBA;33.7833;10.8833;VERIFIED;pau;2015-01-27T19:24:26+0100;
907-1662;muroto;http://www.wikidata.org/wiki/Q3105874;MARETH;33.6178;10.2861;VERIFIED;pau;2015-01-27T19:24:34+0100;
908-1664;CAPIS;http://www.wikidata.org/wiki/Q215661;ガベズ;33.8833;10.1167;VERIFIED;pau;2015-01-27T19:24:49+0100;
909-1666;casar romol;http://www.wikidata.org/wiki/Q3100723;GHANOUCH;33.9397;10.065;VERIFIED;pau;2015-01-27T19:24:58+0100;
910-1667;i.de frixols;http://www.wikidata.org/wiki/Q3100269;;34.3506;10.2997;VERIFIED;pau;2015-01-27T19:25:05+0100;
911-1670;SFACHIS / alfachs;http://www.wikidata.org/wiki/Q46325;SAFAQIS;34.7333;10.7667;VERIFIED;pau;2015-01-27T19:25:14+0100;
912-1671;casar pignatar;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:25:31+0100;
913-1672;capulia;http://pleiades.stoa.org/places/324666;Ammonos Balithonos Akra/Caput Vada;35.233;11.164;VERIFIED;pau;2015-01-27T19:26:52+0100;
914-1674;AFFRICA;http://www.wikidata.org/wiki/Q466054;MADHIA;35.5;11.0667;VERIFIED;pau;2015-01-27T19:27:05+0100;
915-1675;coniere;http://www.wikidata.org/wiki/Q3099608;;35.8002;11.0338;VERIFIED;pau;2015-01-27T19:27:25+0100;
916-1676;monesteri;http://www.wikidata.org/wiki/Q208715;AL-MUNASTIR;35.7833;10.8333;VERIFIED;pau;2015-01-27T19:27:35+0100;
917-1677;SUSA;http://www.wikidata.org/wiki/Q180717;SUSA;35.8333;10.6333;VERIFIED;pau;2015-01-27T19:27:44+0100;
918-1678;rechilia;http://www.wikidata.org/wiki/Q1203456;;36.0333;10.5;VERIFIED;pau;2015-01-27T19:27:54+0100;
919-1679;g.de maomet;http://www.wikidata.org/wiki/Q339535;AL-HAMMAMAT;36.4167;10.6;VERIFIED;pau;2015-01-27T19:28:04+0100;
920-1681;quipia / calibia;http://www.wikidata.org/wiki/Q27241;;36.85;11.1;VERIFIED;pau;2015-01-27T19:28:13+0100;
921-1682;c.bono / cobonnubia;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:28:22+0100;
922-1684;nubia;http://www.wikidata.org/wiki/Q867615;NABEUL;36.4514;10.7361;VERIFIED;pau;2015-01-27T19:28:31+0100;
923-1685;g.de tunis;http://www.wikidata.org/wiki/Q576856;LAGO DI TUNISI;36.8167;10.25;VERIFIED;pau;2015-01-27T19:29:02+0100;
924-1686;TUNIS;http://pleiades.stoa.org/places/315233;Tunes;36.7992;10.1716;VERIFIED;pau;2015-01-27T19:29:21+0100;
925-1687;cartagina / quartana;http://www.wikidata.org/wiki/Q528913;ARCHAEOLOGICAL SITE OF CARTHAGE;36.8528;10.3233;VERIFIED;pau;2015-01-27T19:30:13+0100;
926-1689;rasagibel;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:30:36+0100;
927-1691;BISERTA;http://www.wikidata.org/wiki/Q189546;;37.2667;9.8667;VERIFIED;pau;2015-01-27T19:30:47+0100;
928-1692;[cauo della] guardia [di biserto] / casarii;http://www.wikidata.org/wiki/Q189546;;37.2667;9.8667;VERIFIED;pau;2015-01-27T19:30:59+0100;
